SubjectID;VideoID;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;user-definedlabeln
1;10;2464276,477;627,0654323;21,67249382;11,9763941;24,78701315;24,32766964;793,9891414;2,775637916;0
1;10;2577293,115;972,0193839;19,68086946;14,80831099;40,37553308;29,47365613;813,4076051;1,674563311;0
1;10;2429747,093;2117,007408;102,8580125;16,94818992;13,90253456;32,21498006;691,1765152;1,666948782;0
1;10;2567260,012;967,1128534;32,47033904;3,694752347;8,77394766;39,85211448;683,419715;3,281168511;0
1;10;2552166,95;552,3111957;36,35200488;26,70679778;13,13067094;28,42424363;831,5113867;1,71788758;0
1;10;2457477,487;602,7790439;10,29597909;20,78042962;9,98844926;103,3969779;863,0472491;2,099031752;0
1;10;2506234,28;354,9924056;95,17697243;11,53689848;3,937826378;18,43110187;787,1698584;2,024513655;0
1;10;2529640,826;1607,198189;204,9480026;35,03492147;16,1123729;54,02669356;759,3022311;0,682041252;0
1;10;2515548,932;1574,335972;11,78723654;5,005383509;13,47344457;25,70053296;885,0402611;2,891018218;0
1;10;2488041,401;790,2048531;102,6992031;10,16267858;10,40755505;13,53242179;679,0352802;0,974929599;0
1;10;2541012,099;1152,782239;26,87264783;20,58593811;12,06837968;17,90443397;804,8340088;1,268529574;0
1;10;2532553,324;3507,193169;105,4525055;26,01828914;13,80153052;25,30704956;685,098778;1,633150611;0
1;10;2454654,886;882,0444458;7,511764168;1,967106901;27,9122224;75,31263703;670,0816861;0,287492394;0
1;10;2481276,258;712,4543918;89,27157529;16,62069173;12,68432558;32,7088069;663,8547352;1,027155662;0
1;10;2479044,411;3213,318079;15,11372168;2,172740008;13,50428394;54,05519732;712,1594552;3,19669494;0
1;10;2609180,269;495,6544462;18,53846568;16,00436323;15,15072104;72,04148551;742,8089989;1,819988415;0
1;10;2547014,321;1158,241902;14,02140343;33,82297004;10,66657088;50,13782969;710,0688376;1,640002501;0
1;10;2390868,119;2228,206953;31,89127973;19,43044514;9,629144675;107,5393024;752,2265909;1,058298933;0
1;10;2467354,216;500,0721518;9,415871439;11,59017108;20,90063387;28,36259665;690,2835767;1,213265139;0
1;10;2501935,761;1557,889637;138,0267182;61,44447716;6,400045572;35,15135542;730,4565706;4,282068224;0
1;10;2445895,307;1723,807021;9,932955372;18,82043009;7,05483709;57,10412482;815,3084344;1,583308396;0
1;10;2534520,312;1444,399803;88,57003543;3,191320285;16,46345218;16,07412282;585,3439395;2,587767805;0
1;10;2508577,984;2550,457479;56,8547792;3,503101555;47,81088628;21,99107841;637,6680133;2,429356807;0
1;10;2435049,251;912,8376088;35,53352802;39,85304917;14,68634198;70,96074947;782,969257;3,156584407;0
1;10;2485955,843;1393,881274;40,21647681;14,5437278;9,676884577;33,46492308;717,9024211;0,88376777;0
1;10;2487169,632;2503,307244;158,478461;22,02808157;8,804563453;35,14797065;585,5056049;0,984370935;0
1;10;2523036,775;1327,17545;16,28636382;48,83105863;5,825769115;26,57628531;752,9333571;1,262444965;0
1;10;2555882,964;1497,830964;46,23070184;2,65295148;12,51296944;49,60491419;706,3722108;6,618945141;0
1;10;2561607,569;4505,137288;196,7447512;25,0274547;25,01648414;140,9895067;489,5395234;2,188790737;0
1;10;2471946,696;1288,754134;35,71252745;33,04040757;20,64491055;43,49473639;584,4469702;2,909202275;0
1;10;2464409,609;838,9350077;27,13864654;6,649793139;8,248703259;27,00767304;705,5401373;1,397069061;0
1;10;2549287,015;4156,782532;267,8156365;8,102570074;19,94806258;32,32928806;555,5784424;2,52759057;0
1;10;2495302,263;991,8390775;12,03192829;44,94569138;42,23156033;16,59968907;716,6173407;1,953530057;0
1;10;2536118,996;2532,056179;41,73084819;14,79561048;17,91786106;39,58392465;582,9328756;1,364222596;0
1;10;2594877,367;3284,867795;94,90337948;7,366302389;53,10421305;82,49710422;651,312449;0,981408775;0
1;10;2440797,997;1488,989194;90,13220917;114,8071785;80,30135402;63,2606924;604,80586;1,926425501;0
1;10;2390935,957;592,7139614;16,75527584;5,382764854;31,71435062;203,7434475;889,9685885;1,525524275;0
1;10;2361499,901;2099,846558;133,333205;6,101844231;38,864824;259,6937345;1096,11969;4,843767151;0
1;10;2431151,411;1115,92429;26,37766231;12,69621145;3,298038792;117,9720134;870,9079341;2,104035273;0
1;10;2459093,706;752,2058363;94,41406314;29,67412799;3,696457812;54,85768362;737,9307338;1,105958802;0
1;10;2507279,511;1566,764211;120,8232664;10,76089341;5,37103326;47,18413247;665,4383677;5,210892605;0
1;10;2452398,513;1171,89698;35,44093911;4,182526586;21,29041332;70,03965401;653,1078421;0,557271084;0
1;10;2472074,75;789,2610509;43,45564357;5,837892665;11,87943355;41,20008544;625,4255272;1,549480196;0
1;10;2467160,538;1085,231725;32,56682956;25,40701023;13,89630939;84,92720623;672,2092054;1,609714416;0
1;10;2482172,968;663,0610895;65,29695924;11,00951852;32,9501628;35,03563875;691,6073449;2,919120347;0
1;10;2529945,737;425,4728511;6,57273478;3,323268421;16,01295142;19,04818958;641,9302495;1,834465848;0
1;10;2267400,551;1434,655923;320,6219248;20,11754165;40,25882977;304,440628;1523,455356;8,601920192;0
1;10;2346764,127;1048,831063;13,01639312;5,730447617;2,729022528;264,7010351;1202,247117;1,494203775;0
1;10;2538902,743;1281,256086;32,140047;6,269189993;27,58860077;21,83822861;652,191207;1,247500251;0
1;10;2449564,291;1337,006828;27,52825939;10,12646319;32,20594319;37,09207544;879,0845128;2,44441868;0
1;10;2529975,272;438,0204468;9,118028658;33,81613259;24,00978967;25,8362684;693,7749983;1,942261146;0
1;10;2591453,861;6099,63035;191,6607213;20,04255834;12,33203585;56,65503718;971,1809969;2,208418125;0
1;10;2391875,165;507,931049;11,5909149;12,23944065;10,73331425;114,3610417;882,8669819;0,736670384;0
1;10;2489313,118;1052,504109;37,66975022;3,058469191;5,727708138;12,65075105;717,0116305;2,270452043;0
1;10;2501462,129;1094,320223;22,06573386;35,21158366;3,313591831;39,07726652;554,1077337;1,305447796;0
1;10;2613985,413;1626,276444;46,99440155;9,246806434;5,249153222;67,19147939;774,4438514;1,987183692;0
1;10;2470803,14;1008,368068;181,3650084;49,42803431;49,86442558;40,11179245;734,7313869;0,753485415;0
1;10;2525122,827;438,438103;185,4127715;8,487244832;8,194637201;30,94423373;603,7796775;4,850131364;0
1;10;2535370,698;1277,119103;58,34864189;35,60833161;23,88754484;85,54920833;903,7837917;1,013817135;0
1;10;2497870,291;1711,309381;11,93001012;14,93044789;11,02221594;62,6587732;721,0625807;3,190940781;0
1;10;2474212,24;379,8129999;14,95186803;2,795572602;21,2144002;84,44058467;729,3883683;2,134658585;0
1;10;2823444,147;395,6053222;103,2826068;23,42174314;10,79787022;472,0459343;1710,576785;1,815585803;0
1;11;2543592,33;788,0482225;41,5583537;6,718475056;12,74075898;5,227280924;66,9780355;0,6117956;0
1;11;2691443,442;2458,674606;83,44673053;15,64482128;36,75178461;24,49227669;190,7715753;1,689222464;0
